productCode,name,hexcode,imageUrl
13,04 Beige Knit,#e6a391,https://www.oomomostore.com/cdn/shop/products/8809581532786-1_600x.jpg?v=1734561750
13,05 Violet Knit,#f0b9cc,https://www.oomomostore.com/cdn/shop/products/8809581532762-1_600x.jpg?v=1734561750
14,01 Sugar Brownie,#d19e79,https://www.oomomostore.com/cdn/shop/products/8809581530638-1_600x.jpg?v=1734561756
14,02 Rose Petal,#db987d,https://www.oomomostore.com/cdn/shop/products/8809581530775-1_600x.jpg?v=1734561757
14,03 Nude Potion,#e8ba9b,https://www.oomomostore.com/cdn/shop/products/8809581530966-1_600x.jpg?v=1734561757
14,04 Pastel Dream,#de9785,https://www.oomomostore.com/cdn/shop/products/8809581531000-1_600x.jpg?v=1734561757
14,05 Sunset Muhly,#d99179,https://www.oomomostore.com/cdn/shop/products/8809581531109-1_600x.jpg?v=1734561757
14,10 Autumn Breeze,#c79c8b,https://www.oomomostore.com/cdn/shop/products/8809581531734-1_600x.jpg?v=1734561758
14,13 Cool Blending,#e6c3c3,https://www.oomomostore.com/cdn/shop/products/8809581532120-1_600x.jpg?v=1734561759
14,15 Beige Knit,#e3b28f,https://www.oomomostore.com/cdn/shop/products/8809581532779-1_600x.jpg?v=1734561759
14,16 Violet Knit,#bd8780,https://www.oomomostore.com/cdn/shop/products/8809581532755-1_600x.jpg?v=1734561760
14,19 Candy Berry,#d6b9b8,https://www.oomomostore.com/cdn/shop/products/8809581533585-1_600x.jpg?v=1734561760
14,20 Blueberry Sorbet,#d9adbc,https://www.oomomostore.com/cdn/shop/products/8809581533462-1_600x.jpg?v=1734561761
14,28 Brown Bear,#deaa8e,https://www.oomomostore.com/cdn/shop/files/8809581538528-1_600x.jpg?v=1734561763
15,01 Mood Mango,#ff9b85,https://www.oomomostore.com/cdn/shop/products/8809581532588-1_600x.jpg?v=1734561742
15,02 Melon Sherbet,#ff7869,https://www.oomomostore.com/cdn/shop/products/8809581532595-1_600x.jpg?v=1734561742
15,03 Pink Guava,#ff96b8,https://www.oomomostore.com/cdn/shop/products/8809581532601-1_600x.jpg?v=1734561742
16,01 Cover,#edcaa4,https://www.oomomostore.com/cdn/shop/products/8809581533349-1_600x.jpg?v=1734561735
16,02 Medium Cover,#d4a887,https://www.oomomostore.com/cdn/shop/products/8809581534407-1_600x.jpg?v=1734561736
17,01 Warm Tone,#c4aa91,https://sukoshimart.com/cdn/shop/files/colorgramRe-FormingContourStick-7_1024x1024.png?v=1711482556
17,02 Cool Tone,#997970,https://sukoshimart.com/cdn/shop/files/colorgramRe-FormingContourStick-8_1024x1024.png?v=1711482556
17,03 Neutral,#b59a8a,https://sukoshimart.com/cdn/shop/files/colorgramRe-FormingContourStick-9_1024x1024.png?v=1711482556
18,00 Pearl Gloss,#f5d3e3,https://image.globaloliveyoungshop.com/item/1646/f887356a-9cda-4c89-a825-df6482928285.jpg?RS=1500x1500&AR=0&SF=webp&QT=80
18,01 Flashing Apricot,#ff867d,https://kiokii.com/cdn/shop/files/fruity-glass-tintcolorgramkiokii-and-876487.webp?v=1713984988&width=1000
18,02 Dewy Grapefruit,#f2525a,https://image.globaloliveyoungshop.com/item/1608/511a3e16-ec57-47e9-8651-d1ce6803b483.jpg?RS=1500x1500&AR=0&SF=webp&QT=80
19,01 Peach & Coral,#f2a9a2,https://kiokii.com/cdn/shop/files/pin-point-eyeshadow-palettecolorgramkiokii-and-107634.jpg?v=1714419375&width=1300
19,02 Pink & Mauve,#d9a0a3,https://kiokii.com/cdn/shop/files/pin-point-eyeshadow-palettecolorgramkiokii-and-508860.jpg?v=1714419375
19,03 Pink & Lavender,#f0adcd,https://yepocosmetics.com/cdn/shop/files/D_anm_i-3078_1800x1800_391cccaa-6f82-4445-b803-13ad95bc7222.jpg?v=1706045807
19,04 Bright & Cool,#f2b8bc,https://kiokii.com/cdn/shop/files/pin-point-eyeshadow-palettecolorgramkiokii-and-151973.jpg?v=1714419375
20,01 Dark Brown,#6b5546,https://oceanbuy.ca/cdn/shop/files/colorgram-colorgram-easy-auto-brow-pencil-018g-4-color-to-choose-601169.webp?v=1722628829&width=1080
20,02 Wood Brown,#75544b,https://oceanbuy.ca/cdn/shop/files/colorgram-colorgram-easy-auto-brow-pencil-018g-4-color-to-choose-492998.webp?v=1722628829&width=1080
20,03 Brown,#ab8e76,https://oceanbuy.ca/cdn/shop/files/colorgram-colorgram-easy-auto-brow-pencil-018g-4-color-to-choose-664570.webp?v=1722628829&width=1080
